测试类型,标准问题,测试问题,关键词,关键词命中率,数字匹配率,准确,响应时间
标准问题,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,"南京医保,家人参保,外地医保",0%,100%,是,1163ms
标准问题,这款产品会停售吗？,这款产品会停售吗？,"停售,停止销售,下架",0%,0%,是,52ms
标准问题,已经划扣，需要取消，如何操作退费?,已经划扣，需要取消，如何操作退费?,"退保,取消保险,退款",0%,0%,是,69ms
标准问题,哪些人群可以参加南京宁惠保？,哪些人群可以参加南京宁惠保？,"参保对象,近亲属,断保用户",0%,100%,是,36ms
标准问题,怎么查询或下载发票？,怎么查询或下载发票？,"发票,电子发票,下载发票",0%,100%,是,83ms
标准问题,填写的身份信息会被泄露吗？,填写的身份信息会被泄露吗？,"信息泄露,隐私保护,身份信息",0%,100%,是,66ms
标准问题,宁惠保的赔付标准是什么？,宁惠保的赔付标准是什么？,"宁惠保,赔付标准,报销比例",0%,0%,是,80ms
标准问题,开通了自动续保后会从哪些渠道划扣?,开通了自动续保后会从哪些渠道划扣?,"自动续保,划扣渠道,支付方式",0%,100%,是,37ms
标准问题,省外医保人员是否可以参保南京宁惠保？,省外医保人员是否可以参保南京宁惠保？,"省外医保,参保条件,居住证明",0%,0%,是,67ms
标准问题,投保后，为什么一直显示出单中？,投保后，为什么一直显示出单中？,"出单中,状态,审核",0%,0%,是,67ms
标准问题,什么是等待期,什么是等待期,"等待期,观察期,免责期",0%,0%,是,63ms
标准问题,外籍人士可以投保这款产品吗？,外籍人士可以投保这款产品吗？,"外籍人士,投保资格,外国人参保",0%,100%,是,50ms
标准问题,什么是免赔额？免赔额是多少？,什么是免赔额？免赔额是多少？,"免赔额金额,免赔额数额,自付额度",0%,100%,是,54ms
标准问题,退休后，可以投保本产品吗？,退休后，可以投保本产品吗？,"退休,投保,购买",0%,100%,是,82ms
标准问题,投保这款产品需要满足什么条件？,投保这款产品需要满足什么条件？,"投保条件,参保要求,购买资格",0%,100%,是,66ms
标准问题,预留手机号可以修改吗？如何修改？,预留手机号可以修改吗？如何修改？,"手机号,修改,预留信息",0%,100%,是,82ms
标准问题,城市定制型保险/普惠型补充医疗保险是什么？,城市定制型保险/普惠型补充医疗保险是什么？,"城市定制型保险,普惠型补充医疗,政府合作",0%,100%,是,50ms
标准问题,如何查询自己是否已开通自动续保?,如何查询自己是否已开通自动续保?,"自动续保,查询,是否开通",0%,100%,是,51ms
标准问题,可以变更受益人吗,可以变更受益人吗,"变更受益人,修改受益人,指定受益人",0%,100%,是,65ms
标准问题,这款产品的领款人是谁？,这款产品的领款人是谁？,"领款人,被保险人,监护人",0%,100%,是,67ms
标准问题,全家参保有什么额外好处吗？,全家参保有什么额外好处吗？,"全家参保,家庭共享,多人投保",0%,100%,是,65ms
标准问题,为什么建议您保留自动续保?,为什么建议您保留自动续保?,"自动续保,续保,保障中断",0%,100%,是,65ms
标准问题,保单到期后，没有出险保费会返还吗？,保单到期后，没有出险保费会返还吗？,"保单到期,保费返还,消费型保险",0%,100%,是,52ms
标准问题,为什么价格这么优惠？,为什么价格这么优惠？,价格优惠原因,0%,100%,是,65ms
标准问题,投保后提供纸质保单还是电子保单？,投保后提供纸质保单还是电子保单？,"电子保单,纸质保单,凭证",0%,100%,是,65ms
标准问题,这款产品保额是多少？,这款产品保额是多少？,"保额,赔付上限,最高赔付",0%,0%,是,67ms
标准问题,这款产品生效时间早于投保时间是否合规？,这款产品生效时间早于投保时间是否合规？,"生效时间,投保时间,合规",0%,0%,是,66ms
标准问题,这款产品可以续保吗？续保规则是什么？,这款产品可以续保吗？续保规则是什么？,"续保规则,能否续保,每年可否续保",0%,100%,是,83ms
标准问题,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？,"已有医疗保障,是否还需,叠加保障",0%,100%,是,66ms
标准问题,什么是“南京宁惠保？,什么是“南京宁惠保？,"南京宁惠保,是什么,政府指导",0%,100%,是,65ms
标准问题,这款产品怎么投保？,这款产品怎么投保？,"怎么参保,投保方式,购买方法",0%,100%,是,85ms
标准问题,参保有截止日期吗？,参保有截止日期吗？,"截止日期,参保时间,什么时候截止",0%,0%,是,64ms
标准问题,为什么保单上没有保险公司的盖章？,为什么保单上没有保险公司的盖章？,"保单,盖章,公章",0%,100%,是,71ms
标准问题,续保需要重新填写资料吗？,续保需要重新填写资料吗？,"续保,资料,重新填写",0%,100%,是,68ms
标准问题,这款产品是哪个保险公司承保的？,这款产品是哪个保险公司承保的？,"承保公司,保险公司,联合承保",0%,100%,是,50ms
标准问题,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,"免赔额共享,家庭免赔额,免赔额合并",0%,100%,是,81ms
标准问题,暂时不需要自动续保“南京宁惠保六期，如何取消?,暂时不需要自动续保“南京宁惠保六期，如何取消?,"取消自动续保,关闭续保服务,宁惠保六期",0%,100%,是,51ms
标准问题,投保这款产品是否需要健康告知/体检？,投保这款产品是否需要健康告知/体检？,"健康告知,体检,是否需要",0%,100%,是,66ms
