分类,测试类型,标准问题,测试问题,关键词,是否成功,ID匹配,关键词匹配,关键词命中率,最高相似度,匹配问题1,匹配问题2,答案摘要
产品信息,标准问题,免赔额具体金额是多少？,免赔额具体金额是多少？,"免赔额金额,免赔额数额,自付额度",失败,否,否,0%,0.851,请问免赔额是多少,什么是免赔额？免赔额是多少？,升级保障版（150元版本）：①责任一：免赔额1.5至2万元之间赔付10%；2万元以上非既往症赔付90
产品信息,标准问题,全家参保有什么额外好处吗？,全家参保有什么额外好处吗？,"全家参保,家庭共享,多人投保",成功,是,否,33%,0.845,全家参保有什么额外好处吗？,这款产品可以为他人投保吗？,同一投保人为3人及以上直系家庭成员同时购买的，其本人、配偶、父母及子女可分别共享责任一和责任二、三的
产品信息,标准问题,为什么建议您保留自动续保?,为什么建议您保留自动续保?,"自动续保,续保,保障中断",成功,是,是,67%,0.890,为什么建议您保留自动续保?,如何取消自动续保,保障不中断：无需手动记投保时间，划扣成功后直接续接次年保障，避免因忙碌、遗忘导致“保障空窗期”，应对
产品信息,标准问题,这款产品有哪些投保渠道？,这款产品有哪些投保渠道？,"投保渠道,购买途径,线上投保",成功,是,否,33%,0.773,这款产品有哪些投保渠道？,投保这款产品需要满足什么条件？,您好，本产品投保渠道有微保小程序、南京宁惠保公众号、我的南京APP、支付宝APP。 （1）南京市城镇
产品信息,标准问题,申请退保后保费多久到账？,申请退保后保费多久到账？,"退保,退款,保费到账",成功,是,否,33%,0.885,申请退保后保费多久到账？,退保的费用是怎么计算的？,您好，若您在投保期申请退保，退保申请成功后费用将在48小时内到账。保障生效后无法申请退保，若有特殊情
产品信息,标准问题,电子保单什么时候可以查下并下载？,电子保单什么时候可以查下并下载？,"电子保单,下载,查询",成功,是,是,100%,0.867,电子保单什么时候可以查下并下载？,在哪里查询或下载我的保单？,您好，你可于缴费期结束后1个月后在【“南京宁惠保”公众号或“微保”小程序】-我的-保单-保单服务-保
产品信息,标准问题,这款产品的领款人是谁？,这款产品的领款人是谁？,"领款人,被保险人,监护人",成功,是,是,100%,0.718,这款产品的领款人是谁？,这款产品是哪个保险公司承保的？,您好，这款产品的医疗费用领款人是被保险人本人；如果被保险人是未成年人，那么领款人是监护人，需要在理赔
产品信息,标准问题,省外医保人员是否可以参保南京宁惠保？,省外医保人员是否可以参保南京宁惠保？,"省外医保,参保条件,居住证明",成功,是,是,67%,0.890,省外医保人员是否可以参保南京宁惠保？,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,省外医保人员可以在提供2026年1月1日前已在南京居住或工作证明的情况下参保。居住证明包括居住证、暂
产品信息,标准问题,南京基本医保参保人可以为直系亲属投保宁惠保吗？,南京基本医保参保人可以为直系亲属投保宁惠保吗？,"为亲属投保,直系亲属参保,家庭成员买保险",成功,是,否,0%,0.909,南京基本医保参保人可以为直系亲属投保宁惠保吗？,我是南京医保，可以给省内医保的家人/外地医保的家人参保吗,南京基本医保参保人（包括南京城镇职工医保和城乡居民医保参保人群）可以为其直系亲属投保宁惠保，直系亲属
产品信息,标准问题,续保时需要再次告知身体状况吗,续保时需要再次告知身体状况吗,"续保,告知健康状况,身体情况",成功,是,否,33%,0.922,续保时需要再次告知身体状况吗,续保需要重新填写资料吗？,您好，续保时无需告知身体状况。 您好，续保时系统会保留上年投保信息，无需重新填写全部资料。但需确认：
产品信息,标准问题,续保需要重新填写资料吗？,续保需要重新填写资料吗？,"续保,资料,重新填写",成功,是,是,100%,0.902,续保需要重新填写资料吗？,续保时需要再次告知身体状况吗,您好，续保时系统会保留上年投保信息，无需重新填写全部资料。但需确认：①个人信息是否变更（姓名、身份证
产品信息,标准问题,这款产品的赔付比例是多少？,这款产品的赔付比例是多少？,"赔付比例,报销比例,免赔额",成功,是,是,67%,0.735,这款产品的赔付比例是多少？,这款产品保额是多少？,您好，本产品赔付比例为：
基础保障版（99元版本）
①责任一：免赔额1.5万至2万元之间赔付20%；
产品信息,标准问题,这款产品的等待期/观察期有多久？,这款产品的等待期/观察期有多久？,"等待期,观察期,责任",成功,是,是,67%,0.731,这款产品的等待期/观察期有多久？,这款产品的犹豫期有多久？,您好，这款产品等待期分别为：
基础保障版（99元版本）：责任一、责任二、责任三 无等待期
升级保障版
产品信息,标准问题,去年参保了，今年继续参保有没有什么优待？,去年参保了，今年继续参保有没有什么优待？,"连续参保,续保优惠,未出险",成功,是,是,67%,0.791,去年参保了，今年继续参保有没有什么优待？,这款产品有哪些优待政策吗？,连续两年及以上未中断投保“南京宁惠保”且未出险的，责任二、三赔付比例提升5%(基础版)/责任二、三、
产品信息,标准问题,购买宁惠保是否还需要购买国家基本医疗保险？,购买宁惠保是否还需要购买国家基本医疗保险？,"宁惠保,医保,基本医疗保险",成功,是,是,100%,0.899,购买宁惠保是否还需要购买国家基本医疗保险？,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？,购买宁惠保并不替代国家基本医疗保险，两者可以同时参保。宁惠保作为补充医疗保障，可对医保外费用进行赔付
产品信息,标准问题,这款产品什么时候生效？,这款产品什么时候生效？,"生效时间,保障开始,什么时候开始",成功,是,否,33%,0.799,这款产品什么时候生效？,这款产品生效时间早于投保时间是否合规？,您好，今年参保的宁惠保，保障是从2026年1月1日开始的，保障一整年。您现在参保，就是为明年的健康做
产品信息,标准问题,这款产品会停售吗？,这款产品会停售吗？,"停售,停止销售,下架",成功,是,否,0%,0.781,这款产品会停售吗？,这款产品可以续保吗？续保规则是什么？,您好，本产品的参保开放时间为即日起至2025年12月31日。在此参保期结束后，您将无法参保。为了保证
产品信息,标准问题,这款产品保费是多少？,这款产品保费是多少？,保费金额,成功,是,否,0%,0.794,这款产品保费是多少？,这款产品保额是多少？,您好，这款产品99元/年保费，升级保障版150元/年保费，还可灵活加购学生、幼儿意外保障25元/年、
产品信息,标准问题,这款产品保障多长时间？,这款产品保障多长时间？,"保障期限,有效期,多长时间",成功,是,否,0%,0.779,这款产品保障多长时间？,这款产品可以续保吗？续保规则是什么？,您好，这款产品保障期1年，2026年1月1日0时至2026年12月31日24时止。 您好，本产品无法
产品信息,标准问题,这款产品保额是多少？,这款产品保额是多少？,"保额,赔付上限,最高赔付",成功,是,否,33%,0.855,这款产品保额是多少？,这款产品保费是多少？,您好，这款产品保额分别为：
基础保障版（99元版本）：共计150万，其中责任一：100万 责任二、三
产品信息,标准问题,这款产品可以为他人投保吗？,这款产品可以为他人投保吗？,"为他人投保,给家人买,帮别人参保",成功,是,否,0%,0.864,这款产品可以为他人投保吗？,投保这款产品需要满足什么条件？,您好，您可以为您本人及近亲属投保，近亲属包括父母、配偶、子女、兄弟姐妹、祖父母、外祖父母、孙子女、外
产品信息,标准问题,这款产品可以续保吗？续保规则是什么？,这款产品可以续保吗？续保规则是什么？,"续保规则,能否续保,每年可否续保",成功,是,否,0%,0.914,这款产品可以续保吗？续保规则是什么？,这款产品会停售吗？,您好，本产品无法保证每年是否可以续保，南京宁惠保是普惠型商业补充医疗保险，承保范围与医保政策衔接，因
产品信息,标准问题,这款产品生效时间早于投保时间是否合规？,这款产品生效时间早于投保时间是否合规？,"生效时间,投保时间,合规",成功,是,是,67%,0.856,这款产品生效时间早于投保时间是否合规？,这款产品什么时候生效？,您好，请您不用担心，本产品是符合监管要求的，这款产品并不是按照投保时间来约定生效日。只要是在投保期参
产品信息,标准问题,这款产品和其他商业险是否有冲突？,这款产品和其他商业险是否有冲突？,"与其他保险冲突,和商业险关系,是否影响其他保险",成功,是,否,0%,0.806,这款产品和其他商业险是否有冲突？,这款产品会停售吗？,您好，这款产品与其他商业险是不冲突的，如果您购买的是重大疾病、身故、伤残类等给付型保险产品完全不受影
产品信息,标准问题,这款产品和医保的区别？,这款产品和医保的区别？,"南京宁惠保,医保区别,医疗补充保险",成功,是,是,67%,0.720,这款产品和医保的区别？,这款产品保障范围是什么？,您好，南京宁惠保是为南京人民量身定制的普惠型医疗补充保险。“南京宁惠保”紧密衔接医保，被保险人因疾病
产品信息,标准问题,这款产品怎么投保？,这款产品怎么投保？,"怎么参保,投保方式,购买方法",失败,否,否,0%,0.788,投保这款产品需要满足什么条件？,这款产品有哪些投保渠道？,（1）南京市城镇职工基本医疗保险和南京市城乡居民基本医疗保险参保人群；
（2）南京基本医保参保人其参
产品信息,标准问题,这款产品是哪个保险公司承保的？,这款产品是哪个保险公司承保的？,"承保公司,保险公司,联合承保",成功,是,否,33%,0.786,这款产品是哪个保险公司承保的？,这款产品保障范围是什么？,您好，本产品由中国人民保险、太平洋财险、中国人寿财险、中华联合财险、中银保险、紫金财险、阳光财险、中
产品信息,标准问题,这款产品有哪些优待政策吗？,这款产品有哪些优待政策吗？,"优待政策,续保优惠,保费减免",成功,是,否,0%,0.739,这款产品有哪些优待政策吗？,这款产品可以续保吗？续保规则是什么？,（1）续保优待：
基础版：连续两年及以上未中断投保“南京宁惠保”且未出险的，责任二、三赔付比例提升5
产品信息,标准问题,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,"南京宁惠保,是否需要重新购买,一年期产品",成功,是,是,67%,0.906,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,已经购买了其他产品，是否还需要购买这款产品？,“南京宁惠保”是一年期产品，需要每年投保。现在开放参保的“南京宁惠保”六期，保障时间是2026年1月
产品信息,标准问题,参保有截止日期吗？,参保有截止日期吗？,"截止日期,参保时间,什么时候截止",成功,是,否,33%,0.769,参保有截止日期吗？,这款产品会停售吗？,您好，参保时间是即日起到2025年12月31日，过期就无法参保了。保障明年一整年，建议您尽早办理，别
产品信息,标准问题,什么是“南京宁惠保？,什么是“南京宁惠保？,"南京宁惠保,是什么,政府指导",成功,是,否,33%,0.815,什么是“南京宁惠保？,南京宁惠保六期有哪些保障和优惠政策？,南京宁惠保是由南京市医疗保障局、南京市委金融委员会办公室、南京市民政局、南京市农业农村局、南京市卫生
产品信息,标准问题,可以变更受益人吗,可以变更受益人吗,"变更受益人,修改受益人,指定受益人",成功,是,否,33%,0.873,可以变更受益人吗,参保地变更能赔付吗？,您好，本产品不可变更受益人。 您好，被保险人首次参加基本医疗保险，或在本产品保障期间内中断医保参保缴
产品信息,标准问题,哪些人群可以参保南京宁惠保？,哪些人群可以参保南京宁惠保？,"参保条件,南京宁惠保,医保参保人",成功,是,是,67%,0.864,哪些人群可以参保南京宁惠保？,什么是“南京宁惠保？,南京宁惠保面向南京市基本医疗保险参保人员开放参保，包括城镇职工、城乡居民等。异地参保人员也可通过线上
产品信息,标准问题,哪些人群可以参加南京宁惠保？,哪些人群可以参加南京宁惠保？,"参保对象,近亲属,断保用户",成功,否,是,67%,0.854,哪些人群可以参保南京宁惠保？,什么是“南京宁惠保？,南京宁惠保面向南京市基本医疗保险参保人员开放参保，包括城镇职工、城乡居民等。异地参保人员也可通过线上
产品信息,标准问题,在哪里查询这款产品的条款？,在哪里查询这款产品的条款？,"保险条款,保障内容,合同",成功,是,否,33%,0.759,在哪里查询这款产品的条款？,这款产品免除责任内容在哪里查看？,您好，您可关注【南京宁惠保】微信公众号-【参保入口】-进入参保页面，在参保页面下端查看【保险条款】。
产品信息,标准问题,城市定制型保险/普惠型补充医疗保险是什么？,城市定制型保险/普惠型补充医疗保险是什么？,"城市定制型保险,普惠型补充医疗,政府合作",成功,是,否,33%,0.874,城市定制型保险/普惠型补充医疗保险是什么？,什么是社会基本医疗保险,您好，城市普惠型补充医疗保险是各地政府联合保险公司推出的，立足当地医保政策及群众需求的高性价比报销型
产品信息,标准问题,填写的身份信息会被泄露吗？,填写的身份信息会被泄露吗？,"信息泄露,隐私保护,身份信息",成功,是,否,0%,0.828,填写的身份信息会被泄露吗？,续保需要重新填写资料吗？,您好，我们对您的信息承担保密义务，并仅会在您授权的范围内使用您的信息。同时，为保障您的信息安全，我们
产品信息,标准问题,外籍人士可以投保这款产品吗？,外籍人士可以投保这款产品吗？,"外籍人士,投保资格,外国人参保",成功,是,否,33%,0.809,外籍人士可以投保这款产品吗？,这款产品可以为他人投保吗？,您好，外籍人士无法在线上完成投保。 您好，您可以为您本人及近亲属投保，近亲属包括父母、配偶、子女、兄
产品信息,标准问题,什么是免赔额？免赔额是多少？,什么是免赔额？免赔额是多少？,"免赔额金额,免赔额数额,自付额度",成功,是,否,0%,0.842,什么是免赔额？免赔额是多少？,请问免赔额是多少,您好，免赔额是指注明属于承保范围的索赔金额中，在依据保险单申请相应的保险金前，应当由被保险人自己承担
产品信息,标准问题,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,"免赔额共享,家庭免赔额,免赔额合并",成功,是,否,0%,0.907,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,家庭成员如何共享免赔额？需要提供哪些证明材料？,家庭参保共享免赔额是指同一家庭成员共同参保后，可共享免赔额。理赔时，需提供家庭关系证明材料，系统将根
产品信息,标准问题,如何查询自己是否已开通自动续保?,如何查询自己是否已开通自动续保?,"自动续保,查询,是否开通",成功,是,是,67%,0.853,如何查询自己是否已开通自动续保?,为什么建议您保留自动续保?,（1）如您是通过我的南京APP、南京宁惠保公众号参保：可点击“南京宁惠保”公众号菜单栏→【个人中心】
产品信息,标准问题,保单到期后，没有出险保费会返还吗？,保单到期后，没有出险保费会返还吗？,"保单到期,保费返还,消费型保险",成功,是,否,33%,0.869,保单到期后，没有出险保费会返还吗？,退保的费用是怎么计算的？,您好，本产品属于消费型保险， 它的保费相对低廉（每年一百左右），却能提供上百万元的保额，正是因为它是
产品信息,标准问题,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持为家庭成员购买？,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持为家庭成员购买？,"医保个账,购买,金额限制",成功,是,是,100%,0.916,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持,南京宁惠保六期有哪些保障和优惠政策？,宁惠保六期支持使用医保个账购买，且医保个账可为近亲属购买。关于医保个账内最低金额限制，具体以官方规定
产品信息,标准问题,什么是等待期,什么是等待期,"等待期,观察期,免责期",成功,是,否,33%,0.615,什么是等待期,这款产品的等待期/观察期有多久？,您好，等待期是指自本保险合同起始时间起计算的一段时间（该时间以保险合同载明为准；若保险合同未载明则该
产品信息,标准问题,宁惠保的赔付标准是什么？,宁惠保的赔付标准是什么？,"宁惠保,赔付标准,报销比例",失败,否,否,33%,0.808,宁惠保的免赔额是如何计算的？,想请问下理赔的金额？,宁惠保设有免赔额，分为医保范围内个人自付和医保范围外个人自费两部分。医保范围内个人自付的免赔额为1.
产品信息,标准问题,家庭成员如何共享免赔额？需要提供哪些证明材料？,家庭成员如何共享免赔额？需要提供哪些证明材料？,"免赔额共享,家庭免赔额,免赔额合并",成功,是,否,0%,0.873,家庭成员如何共享免赔额？需要提供哪些证明材料？,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,家庭成员可通过家庭参保共享免赔额，具体需提供家庭关系证明材料，如户口本、结婚证等，以确认家庭成员关系
产品信息,标准问题,家庭成员是否可以共享免赔额？,家庭成员是否可以共享免赔额？,"免赔额共享,家庭免赔额,免赔额合并",成功,是,否,0%,0.880,家庭成员是否可以共享免赔额？,家庭成员如何共享免赔额？需要提供哪些证明材料？,家庭成员可以共享免赔额，但需满足以下条件：同一投保人投保自己的直系亲属（父母、配偶、子女），且家庭成
产品信息,标准问题,已经划扣，需要取消，如何操作退费?,已经划扣，需要取消，如何操作退费?,"退保,取消保险,退款",成功,是,否,33%,0.832,已经划扣，需要取消，如何操作退费?,我想取消自动投保,如您需要退费，可以在保单生效前(2026公众号年1月1日前)，（1）在“南京宁惠保”菜单栏【个人中心
产品信息,标准问题,已经购买了其他产品，是否还需要购买这款产品？,已经购买了其他产品，是否还需要购买这款产品？,"重复购买,其他产品,是否需要",成功,是,否,0%,0.720,已经购买了其他产品，是否还需要购买这款产品？,这款产品可以重复报销吗？,您好，南京宁惠保是南京市民专属的报销型补充医疗保险产品，和确诊即赔的重疾险是相互补充的，重疾险搭配南
产品信息,标准问题,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？,"已有医疗保障,是否还需,叠加保障",成功,是,否,0%,0.892,已经购买了其他医疗保障产品，是否还需要购买南京宁惠保？,已经购买了其他产品，是否还需要购买这款产品？,即使已购买其他医疗保障产品，仍建议购买南京宁惠保，因其提供双通道门诊用药报销、医保外费用免赔额降低、
产品信息,标准问题,开通了自动续保后会从哪些渠道划扣?,开通了自动续保后会从哪些渠道划扣?,"自动续保,划扣渠道,支付方式",成功,是,否,33%,0.900,开通了自动续保后会从哪些渠道划扣?,这个自动续保我都不知道怎么就自动续保了？能取消订单吗,将从您去年参保“南京宁惠保”五期时的支付渠道自动划扣，如您去年是使用医保个人账户支付，那么今年依然会
产品信息,标准问题,今年还可以用医保个账支付保费吗？,今年还可以用医保个账支付保费吗？,"医保个账,个人账户,医保余额",成功,是,是,67%,0.870,今年还可以用医保个账支付保费吗？,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持,可以的，支持使用医保个账余额为符合参保条件的本人、配偶、父母、子女支付保费，南京职工医保参保人还可用
