分类,难度,标准问题,测试问题,关键词,是否匹配,最高相似度,匹配到的标准问题,匹配到的答案摘要
产品信息,标准,家庭成员如何共享免赔额？需要提供哪些证明材料？,家庭成员如何共享免赔额？需要提供哪些证明材料？,"免赔额共享,家庭免赔额,免赔额合并",是,0.873,家庭成员如何共享免赔额？需要提供哪些证明材料？,家庭成员可通过家庭参保共享免赔额，具体需提供家庭关系证明材料，如户口本、结婚证等，以确认家庭成员关系。
产品信息,相似,家庭成员如何共享免赔额？需要提供哪些证明材料？,一家人能共享免赔额吗？,"免赔额共享,家庭免赔额,免赔额合并",否,0.875,家庭成员是否可以共享免赔额？,家庭成员可以共享免赔额，但需满足以下条件：同一投保人投保自己的直系亲属（父母、配偶、子女），且家庭成员人数在3-7人之间。投保人本人可参保也可不参保，但需上传家
产品信息,标准,家庭成员是否可以共享免赔额？,家庭成员是否可以共享免赔额？,"免赔额共享,家庭免赔额,免赔额合并",是,0.880,家庭成员是否可以共享免赔额？,家庭成员可以共享免赔额，但需满足以下条件：同一投保人投保自己的直系亲属（父母、配偶、子女），且家庭成员人数在3-7人之间。投保人本人可参保也可不参保，但需上传家
产品信息,相似,家庭成员是否可以共享免赔额？,一家人能共享免赔额吗？,"免赔额共享,家庭免赔额,免赔额合并",是,0.875,家庭成员是否可以共享免赔额？,家庭成员可以共享免赔额，但需满足以下条件：同一投保人投保自己的直系亲属（父母、配偶、子女），且家庭成员人数在3-7人之间。投保人本人可参保也可不参保，但需上传家
产品信息,标准,哪些人群可以参保南京宁惠保？,哪些人群可以参保南京宁惠保？,"参保条件,南京宁惠保,医保参保人",是,0.864,哪些人群可以参保南京宁惠保？,南京宁惠保面向南京市基本医疗保险参保人员开放参保，包括城镇职工、城乡居民等。异地参保人员也可通过线上渠道进行参保，具体操作可参考官方指引或咨询客服。
产品信息,相似,哪些人群可以参保南京宁惠保？,哪些人可以买南京宁惠保？,"参保条件,南京宁惠保,医保参保人",是,0.867,哪些人群可以参保南京宁惠保？,南京宁惠保面向南京市基本医疗保险参保人员开放参保，包括城镇职工、城乡居民等。异地参保人员也可通过线上渠道进行参保，具体操作可参考官方指引或咨询客服。
产品信息,标准,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持为家庭成员购买？,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持为家庭成员购买？,"医保个账,购买,金额限制",是,0.916,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持为家庭成员购买？,宁惠保六期支持使用医保个账购买，且医保个账可为近亲属购买。关于医保个账内最低金额限制，具体以官方规定为准。
产品信息,相似,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持为家庭成员购买？,可以用医保卡余额买宁惠保吗？,"医保个账,购买,金额限制",是,0.823,宁惠保六期是否支持使用医保个账购买，是否有金额限制，是否支持为家庭成员购买？,宁惠保六期支持使用医保个账购买，且医保个账可为近亲属购买。关于医保个账内最低金额限制，具体以官方规定为准。
产品信息,标准,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,"免赔额共享,家庭免赔额,免赔额合并",是,0.907,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,家庭参保共享免赔额是指同一家庭成员共同参保后，可共享免赔额。理赔时，需提供家庭关系证明材料，系统将根据家庭成员的参保信息判定是否属于同一家庭。
产品信息,相似,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,一家人能共享免赔额吗？,"免赔额共享,家庭免赔额,免赔额合并",否,0.875,家庭成员是否可以共享免赔额？,家庭成员可以共享免赔额，但需满足以下条件：同一投保人投保自己的直系亲属（父母、配偶、子女），且家庭成员人数在3-7人之间。投保人本人可参保也可不参保，但需上传家
产品信息,标准,宁惠保的赔付标准是什么？,宁惠保的赔付标准是什么？,"宁惠保,赔付标准,报销比例",否,0.808,宁惠保的免赔额是如何计算的？,宁惠保设有免赔额，分为医保范围内个人自付和医保范围外个人自费两部分。医保范围内个人自付的免赔额为1.5万元，超过部分按比例赔付；医保范围外个人自费的免赔额为2万
产品信息,相似,宁惠保的赔付标准是什么？,宁惠保的赔付比例是多少？,"宁惠保,赔付标准,报销比例",否,0.808,想请问下理赔的金额？,25年25年：免赔额是年度内累计的（基础版99）①责任一 医保范围内个人自付：免赔额 1.5万， 1.5万-2万之间赔付20% ；2万以上部分非既往症赔付90%
产品信息,标准,可以变更受益人吗,可以变更受益人吗,"变更受益人,修改受益人,指定受益人",是,0.873,可以变更受益人吗,您好，本产品不可变更受益人。
产品信息,相似,可以变更受益人吗,能不能改一下受益人信息？,"变更受益人,修改受益人,指定受益人",是,0.852,可以变更受益人吗,您好，本产品不可变更受益人。
产品信息,标准,投保这款产品是否需要健康告知/体检？,投保这款产品是否需要健康告知/体检？,"健康告知,体检,是否需要",是,0.896,投保这款产品是否需要健康告知/体检？,您好，这款产品不需要健康告知，也不需要体检。
产品信息,相似,投保这款产品是否需要健康告知/体检？,买这款保险要体检吗？,"健康告知,体检,是否需要",是,0.850,投保这款产品是否需要健康告知/体检？,您好，这款产品不需要健康告知，也不需要体检。
产品信息,标准,如何查询自己是否已开通自动续保?,如何查询自己是否已开通自动续保?,"自动续保,查询,是否开通",是,0.853,如何查询自己是否已开通自动续保?,（1）如您是通过我的南京APP、南京宁惠保公众号参保：可点击“南京宁惠保”公众号菜单栏→【个人中心】→【保单查询】→【我的保单】查看自动续保是否开启。
（2）如
