序号,测试类型,标准问题,测试问题,关键词,关键词命中率,数字匹配率,响应时间,失败原因分析
1,标准问题,外籍人士可以投保这款产品吗？,外籍人士可以投保这款产品吗？,"外籍人士,投保资格,外国人参保",20%,100%,3943ms,回答信息不完整，缺少关键细节
2,标准问题,可以变更受益人吗,可以变更受益人吗,"变更受益人,修改受益人,指定受益人",20%,100%,3422ms,回答未覆盖核心关键词
3,标准问题,投保这款产品是否需要健康告知/体检？,投保这款产品是否需要健康告知/体检？,"健康告知,体检,是否需要",0%,100%,6700ms,回答内容与问题完全不匹配（关键词命中率0%）
4,标准问题,续保时需要再次告知身体状况吗,续保时需要再次告知身体状况吗,"续保,告知健康状况,身体情况",20%,100%,3321ms,回答未覆盖核心关键词
5,标准问题,在哪里查询这款产品的条款？,在哪里查询这款产品的条款？,"保险条款,保障内容,合同",20%,100%,5786ms,回答未覆盖核心关键词
6,标准问题,国外的住院医疗费用本产品可以理赔吗？,国外的住院医疗费用本产品可以理赔吗？,"国外,住院费用,理赔",17%,100%,3416ms,回答质量不足（关键词命中率过低）
7,标准问题,“南京宁惠保”六期不能报销什么病种？,“南京宁惠保”六期不能报销什么病种？,"南京宁惠保,六期,不报销",60%,100%,3511ms,回答未覆盖核心关键词
8,标准问题,种植牙是否可以报销,种植牙是否可以报销,"种植牙,报销范围,赔付内容",40%,100%,2886ms,回答信息不完整，缺少关键细节
9,标准问题,其他城市什么时候上线？,其他城市什么时候上线？,"上线时间,城市覆盖,地区开通",0%,100%,2872ms,回答内容与问题完全不匹配（关键词命中率0%）
10,标准问题,人工客服电话是多少？,人工客服电话是多少？,"客服电话,联系电话,人工电话",20%,100%,3142ms,回答信息不完整，缺少关键细节
11,标准问题,在哪里查询投保须知？,在哪里查询投保须知？,"投保渠道,购买方式,参保途径",0%,100%,3247ms,回答内容与问题完全不匹配（关键词命中率0%）
12,标准问题,参保所需证件类型指的是什么,参保所需证件类型指的是什么,"证件类型,身份证,材料",40%,100%,3302ms,回答未覆盖核心关键词
13,标准问题,保险人是指什么？,保险人是指什么？,"保险人,承保人,保险公司",60%,100%,3626ms,回答信息不完整，缺少关键细节
14,标准问题,什么是个人自付和个人自费？,什么是个人自付和个人自费？,"个人自付,个人自费,医保目录内",80%,100%,2810ms,回答信息不完整，缺少关键细节
15,标准问题,什么是商业保险？,什么是商业保险？,"商业保险,商业险,非社保",20%,100%,2651ms,回答信息不完整，缺少关键细节
16,标准问题,有理赔次数限制吗？,有理赔次数限制吗？,"理赔次数限制,赔付次数,报销次数",0%,100%,3070ms,回答内容与问题完全不匹配（关键词命中率0%）
17,标准问题,医保结算单是什么？,医保结算单是什么？,"医保结算单,医保单据,自付金额",20%,100%,2610ms,回答未覆盖核心关键词
18,标准问题,身份证件过期后可以申请理赔吗,身份证件过期后可以申请理赔吗,"理赔,证件过期,申请",80%,100%,2875ms,回答未覆盖核心关键词
19,标准问题,医院等级在哪里查看？,医院等级在哪里查看？,"医院等级查询,医疗机构等级,医院级别",0%,100%,2976ms,回答内容与问题完全不匹配（关键词命中率0%）
20,标准问题,在哪里查询理赔须知？,在哪里查询理赔须知？,"理赔须知,报销说明,申请赔款",40%,100%,3944ms,回答未覆盖核心关键词
21,标准问题,快赔系统没带出来这一段时间的就诊记录，走的传统通道,快赔系统没带出来这一段时间的就诊记录，走的传统通道,"免赔额,赔付比例,责任一",0%,0%,1265ms,回答内容与问题完全不匹配（关键词命中率0%）
22,标准问题,这款产品的犹豫期有多久？,这款产品的犹豫期有多久？,"犹豫期,冷静期,退保",20%,100%,4592ms,回答信息不完整，缺少关键细节
23,相似问题,已经划扣，需要取消，如何操作退费?,钱已经被扣了，怎么退回来？,"退保,取消保险,退款",0%,0%,1139ms,回答内容与问题完全不匹配（关键词命中率0%）
24,相似问题,投保后，为什么一直显示出单中？,为什么显示还在出单？,"出单中,状态,审核",0%,0%,1227ms,回答内容与问题完全不匹配（关键词命中率0%）
25,相似问题,续保时需要再次告知身体状况吗,续保的时候还要说身体情况吗？,"续保,告知健康状况,身体情况",20%,100%,2290ms,回答未覆盖核心关键词
26,相似问题,现在住院自费太高，自费加起来2万才报吗,住院花了很多钱，怎么才赔这么点？,"住院自费,年度累计",0%,0%,1442ms,回答内容与问题完全不匹配（关键词命中率0%）
27,相似问题,宁惠保电子保单怎么下载？,怎么查宁惠保的电子保单？,"宁惠保,电子保单,下载",0%,100%,1178ms,回答内容与问题完全不匹配（关键词命中率0%）
28,相似问题,国外的住院医疗费用本产品可以理赔吗？,在国外住院能不能报销？,"国外,住院费用,理赔",17%,100%,3231ms,回答质量不足（关键词命中率过低）
29,相似问题,意外可以赔付吗？,如果发生意外能报销吗？,"意外,赔付,报销",60%,100%,2808ms,回答未覆盖核心关键词
30,相似问题,双通道门诊用药如何报销,双通道门诊的药品能报销吗？,"双通道,门诊用药,报销",80%,100%,3928ms,回答未覆盖核心关键词
31,相似问题,人工客服服务时间是多少？,你们几点下班？,"客服时间,服务时间,人工服务",20%,100%,1663ms,回答未覆盖核心关键词
32,相似问题,人工客服电话是多少？,打哪个电话找客服？,"客服电话,联系电话,人工电话",0%,100%,3537ms,回答内容与问题完全不匹配（关键词命中率0%）
33,相似问题,这是我投保人的电话,投保人的手机号码是哪个？,"投保人电话,联系方式,被保险人",0%,0%,731ms,回答内容与问题完全不匹配（关键词命中率0%）
34,相似问题,医保结算单是什么？,医保结算单是啥？,"医保结算单,医保单据,自付金额",20%,100%,3915ms,回答未覆盖核心关键词
35,相似问题,身份证件过期后可以申请理赔吗,身份证过期了还能不能报销？,"理赔,证件过期,申请",40%,100%,3563ms,回答未覆盖核心关键词
36,相似问题,医院等级在哪里查看？,怎么查这家医院是什么级别的？,"医院等级查询,医疗机构等级,医院级别",0%,100%,3340ms,回答内容与问题完全不匹配（关键词命中率0%）
37,相似问题,那个直赔怎么没有报销,为什么直付没看到赔款？,"直赔,没有报销,赔付比例",0%,0%,797ms,回答内容与问题完全不匹配（关键词命中率0%）
38,合成问题,省外医保人员是否可以参保南京宁惠保？ + 投保后，为什么一直,省外医保人员是否可以参保南京宁惠保，另外投保后，为什么一直显,"省外医保,参保条件,出单中",0%,0%,2136ms,回答内容与问题完全不匹配（关键词命中率0%）
39,合成问题,投保这款产品需要满足什么条件？ + 预留手机号可以修改吗？如,投保这款产品需要满足什么条件，另外预留手机号可以修改吗如何修,"投保条件,参保要求,手机号",0%,100%,6608ms,回答内容与问题完全不匹配（关键词命中率0%）
40,合成问题,为什么价格这么优惠？ + 投保后提供纸质保单还是电子保单？,为什么价格这么优惠，另外投保后提供纸质保单还是电子保单,"价格优惠原因,电子保单,纸质保单",0%,100%,5056ms,回答内容与问题完全不匹配（关键词命中率0%）
41,合成问题,续保需要重新填写资料吗？ + 这款产品是哪个保险公司承保的？,续保需要重新填写资料吗，另外这款产品是哪个保险公司承保的,"续保,资料,承保公司",0%,100%,5697ms,回答内容与问题完全不匹配（关键词命中率0%）
42,合成问题,这款产品有哪些优待政策吗？ + 申请退保后保费多久到账？,这款产品有哪些优待政策吗，另外申请退保后保费多久到账,"优待政策,续保优惠,退保",0%,0%,5325ms,回答内容与问题完全不匹配（关键词命中率0%）
