序号,分类,标准问题,标准答案摘要,关键词,智能客服答案,命中关键词,缺失关键词,命中率%,有实质内容,响应时间ms,状态
1,产品信息,与去年相比，“南京宁惠保”六期的保障有变化吗？,一是新增了门诊用药可赔。升级版责任一，将住院期间和通过“双通道”在门诊（含定点零售药店）使用国家谈判药品所发生的经医保报销后的个人自付费用纳入保障。 | 二是特药目,"南京宁惠保,六期,保障变化,升级,责任范围",该功能暂不可用，建议您联系人工客服获取“南京宁惠保”六期与去年保障内容的对比信息。,"南京宁惠保,六期","保障变化,升级,责任范围",40,否,4629,部分通过
2,产品信息,为什么价格这么优惠？,您好，因为“南京宁惠保”是由政府牵头，由南京市医疗保障局、南京市委金融委员会办公室、南京市民政局、南京市农业农村局、南京市卫生健康委员会、南京市人民政府国有资产,价格优惠原因,该功能暂不可用，建议您联系人工客服获取帮助。,无,价格优惠原因,,否,2692,失败
3,产品信息,为什么保单上没有保险公司的盖章？,您好，我们给您提供电子参保凭证上是有承保保险公司的公章的，请您放心。您可在保单生效后通过【南京宁惠保】微信公众号或【微保】小程序-【我的】-【保单】-选择【南京,"保单,盖章,公章,凭证,电子保单",该功能暂不可用，建议您联系人工客服获取帮助。,无,"保单,盖章,公章,凭证,电子保单",,否,2700,失败
4,产品信息,为什么建议您保留自动续保?,保障不中断：无需手动记投保时间，划扣成功后直接续接次年保障，避免因忙碌、遗忘导致“保障空窗期”，应对突发医疗需求更安心； | 操作更省心：开通自动续保服务，无需重复,"自动续保,续保,保障中断,续费,续接",该功能暂不可用，建议您联系人工客服获取帮助。,无,"自动续保,续保,保障中断,续费,续接",,否,2117,失败
5,产品信息,什么是“南京宁惠保？,南京宁惠保是由南京市医疗保障局、南京市委金融委员会办公室、南京市民政局、南京市农业农村局、南京市卫生健康委员会、南京市人民政府国有资产监督管理委员会、南京市总工,"南京宁惠保,是什么,政府指导,惠民保险,南京市",该功能暂不可用，建议您联系人工客服获取关于“南京宁惠保”的相关信息。,南京宁惠保,"是什么,政府指导,惠民保险,南京市",20,否,2365,失败
6,产品信息,什么是免赔额？免赔额是多少？,您好，免赔额是指注明属于承保范围的索赔金额中，在依据保险单申请相应的保险金前，应当由被保险人自己承担的额度。在社会医疗保险报销的部分，不计入免赔额。,"免赔额金额,免赔额数额,自付额度",该功能暂不可用，建议您联系人工客服获取关于“南京宁惠保”免赔额的详细信息。,无,"免赔额金额,免赔额数额,自付额度",,否,5227,失败
7,产品信息,什么是等待期,您好，等待期是指自本保险合同起始时间起计算的一段时间（该时间以保险合同载明为准；若保险合同未载明则该时间视为0日），经过该段时间后，保险公司才对被保险人承担给付,"等待期,观察期,免责期,生效前,不赔付期,起保后多久开始赔",该功能暂不可用，建议您联系人工客服获取关于“等待期”的详细解答。,等待期,"观察期,免责期,生效前,不赔付期,起保后多久开始赔",17,否,3108,失败
8,产品信息,今年还可以用医保个账支付保费吗？,可以的，支持使用医保个账余额为符合参保条件的本人、配偶、父母、子女支付保费，南京职工医保参保人还可用医保个账余额为在江苏省内参加基本医保的近亲属（配偶、父母、子,"医保个账,个人账户,医保余额,支付保费,用医保缴费,医保卡余额",该功能暂不可用，建议您联系人工客服获取帮助。,无,"医保个账,个人账户,医保余额,支付保费,用医保缴费,医保卡余额",,否,2645,失败
9,产品信息,保单到期后，没有出险保费会返还吗？,您好，本产品属于消费型保险， 它的保费相对低廉（每年一百左右），却能提供上百万元的保额，正是因为它是“消费型”的，保费是不返还的。,"保单到期,保费返还,消费型保险,不返还,退费",该功能暂不可用，建议您联系人工客服获取帮助。,无,"保单到期,保费返还,消费型保险,不返还,退费",,否,3237,失败
10,产品信息,南京基本医保参保人可以为直系亲属投保宁惠保吗？,南京基本医保参保人（包括南京城镇职工医保和城乡居民医保参保人群）可以为其直系亲属投保宁惠保，直系亲属需为江苏省内其他地市的基本医保参保人。申请理赔时需提供被保险,"为亲属投保,直系亲属参保,家庭成员买保险,代购保险,宁惠保亲属购买",该功能暂不可用，建议您联系人工客服获取帮助。,无,"为亲属投保,直系亲属参保,家庭成员买保险,代购保险,宁惠保亲属购买",,否,2955,失败
11,产品信息,去年参保了，今年继续参保有没有什么优待？,连续两年及以上未中断投保“南京宁惠保”且未出险的，责任二、三赔付比例提升5%(基础版)/责任二、三、四赔付比例提升5%(升级版)。简单说：如果你去年参保了没出险,"连续参保,续保优惠,未出险,保费优待,赔付比例提升",抱歉，当前系统功能暂不可用，建议您联系人工客服获取关于续保优待政策的详细信息。,无,"连续参保,续保优惠,未出险,保费优待,赔付比例提升",,否,3728,失败
12,产品信息,去年已购买了“南京宁惠保”，今年还需要重新购买吗？,“南京宁惠保”是一年期产品，需要每年投保。现在开放参保的“南京宁惠保”六期，保障时间是2026年1月1日—2026年12月31日。,"南京宁惠保,是否需要重新购买,一年期产品,续保,参保",该功能暂不可用，建议您联系人工客服获取帮助。,无,"南京宁惠保,是否需要重新购买,一年期产品,续保,参保",,否,3437,失败
13,产品信息,参保有截止日期吗？,您好，参保时间是即日起到2025年12月31日，过期就无法参保了。保障明年一整年，建议您尽早办理，别错过哦！,"截止日期,参保时间,什么时候截止,最后期限,错过怎么办",参保确实有截止日期。根据“南京宁惠保”的相关规定，通常每年的参保期为**11月10日至12月31日**，在此期间内完成投保方可享受下一年度的保障。 |  | 但具体时间可能因年度政策调整而有所变化，建议您关注官方最新通知或通过“南京宁惠保”微信公众号获取最新参保时间信息。 |  | 如需进一步帮助，也可联系人工客服,"截止日期,参保时间","什么时候截止,最后期限,错过怎么办",40,是,4707,部分通过
14,产品信息,可以变更受益人吗,您好，本产品不可变更受益人。,"变更受益人,修改受益人,指定受益人,调整受益人,受益人更换",该功能暂不可用，建议您联系人工客服获取帮助。,无,"变更受益人,修改受益人,指定受益人,调整受益人,受益人更换",,否,3619,失败
15,产品信息,哪些人群可以参保南京宁惠保？,南京宁惠保面向南京市基本医疗保险参保人员开放参保，包括城镇职工、城乡居民等。异地参保人员也可通过线上渠道进行参保，具体操作可参考官方指引或咨询客服。,"参保条件,南京宁惠保,医保参保人,可参保人群,城镇职工",该功能暂不可用，建议您联系人工客服获取关于南京宁惠保参保人群的详细信息。,南京宁惠保,"参保条件,医保参保人,可参保人群,城镇职工",20,否,3418,失败
16,产品信息,哪些人群可以参加南京宁惠保？,南京宁惠保面向南京市基本医疗保险参保人员及其近亲属开放参保，包括但不限于已参保人员、断保用户以及未参保但符合参保条件的人员。具体参保条件可参考官方发布的参保指南,"参保对象,近亲属,断保用户,未参保人员,参保群体",该功能暂不可用，建议您联系人工客服获取关于“南京宁惠保”参保人群的详细信息。,无,"参保对象,近亲属,断保用户,未参保人员,参保群体",,否,2577,失败
17,产品信息,在哪里查询这款产品的条款？,您好，您可关注【南京宁惠保】微信公众号-【参保入口】-进入参保页面，在参保页面下端查看【保险条款】。,"保险条款,保障内容,合同,细则,产品说明",抱歉，当前条款查询功能暂不可用。建议您联系人工客服获取产品条款信息，或通过南京宁惠保官方微信公众号查看相关条款内容。,无,"保险条款,保障内容,合同,细则,产品说明",,否,3794,失败
18,产品信息,城市定制型保险/普惠型补充医疗保险是什么？,您好，城市普惠型补充医疗保险是各地政府联合保险公司推出的，立足当地医保政策及群众需求的高性价比报销型商业补充医疗保险产品。这类产品投保门槛低，只要参保了当地医保,"城市定制型保险,普惠型补充医疗,政府合作,医保补充,低门槛",该功能暂不可用，建议您联系人工客服获取帮助。,无,"城市定制型保险,普惠型补充医疗,政府合作,医保补充,低门槛",,否,3071,失败
19,产品信息,填写的身份信息会被泄露吗？,您好，我们对您的信息承担保密义务，并仅会在您授权的范围内使用您的信息。同时，为保障您的信息安全，我们将使用各种安全技术及配套的管理体系来防止您的信息被泄露、毁损,"信息泄露,隐私保护,身份信息,信息安全,保密义务",该功能暂不可用，建议您联系人工客服以获取帮助。,无,"信息泄露,隐私保护,身份信息,信息安全,保密义务",,否,3222,失败
20,产品信息,如何实现家庭参保共享免赔额，理赔时如何认定为一个家庭？,家庭参保共享免赔额是指同一家庭成员共同参保后，可共享免赔额。理赔时，需提供家庭关系证明材料，系统将根据家庭成员的参保信息判定是否属于同一家庭。,"免赔额共享,家庭免赔额,免赔额合并",该功能暂不可用，建议您联系人工客服获取帮助。,无,"免赔额共享,家庭免赔额,免赔额合并",,否,3077,失败
